User,Gesture Type,RandomIteration,#ofTrainingExamples,TotalSizeOfTrainingSet,Training Set Contents,Candidate,RecoResult,Correct or Incorrect,RecoResultScore,RecoResultBestMatch,RecoResultNBestSorted
Amey,(,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",(|Amey|E6,(,1,0.973,(|Amey|E9,"{'(|Amey|E9': 0.973, '-|Amey|E5': 0.575, '4|Amey|E9': 0.526, '+|Amey|E4': 0.467, '6|Amey|E9': 0.45, '0|Amey|E9': 0.361, '2|Amey|E10': 0.187}"
Amey,),1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",)|Amey|E9,),1,0.971,)|Amey|E6,"{')|Amey|E6': 0.971, 'X|Amey|E6': 0.439, '5|Amey|E2': 0.215, '3|Amey|E10': 0.207}"
Amey,+,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",+|Amey|E10,+,1,0.965,+|Amey|E4,"{'+|Amey|E4': 0.965, '8|Amey|E2': 0.678, '4|Amey|E9': 0.534, '/|Amey|E10': 0.446}"
Amey,-,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",-|Amey|E3,-,1,0.983,-|Amey|E5,"{'-|Amey|E5': 0.983, '1|Amey|E7': 0.667, '7|Amey|E8': 0.64, '2|Amey|E10': 0.591, '3|Amey|E10': 0.591, '5|Amey|E2': 0.59, ')|Amey|E6': 0.539, '+|Amey|E4': 0.487, '8|Amey|E2': 0.346, '0|Amey|E9': 0.128}"
Amey,0,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",0|Amey|E6,X,0,0.555,X|Amey|E6,"{'X|Amey|E6': 0.555, '+|Amey|E4': 0.546, '4|Amey|E9': 0.512, '/|Amey|E10': 0.146}"
Amey,1,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",1|Amey|E2,1,1,0.944,1|Amey|E7,"{'1|Amey|E7': 0.944, '3|Amey|E10': 0.759, '-|Amey|E5': 0.732, '2|Amey|E10': 0.522, '+|Amey|E4': 0.465, 'X|Amey|E6': 0.463, '0|Amey|E9': 0.319, '6|Amey|E9': 0.176, ')|Amey|E6': 0.114}"
Amey,2,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",2|Amey|E5,1,0,0.701,1|Amey|E7,"{'1|Amey|E7': 0.701, '2|Amey|E10': 0.686, '3|Amey|E10': 0.597, '-|Amey|E5': 0.514, '+|Amey|E4': 0.501, '0|Amey|E9': 0.488, 'X|Amey|E6': 0.404, '6|Amey|E9': 0.268, ')|Amey|E6': 0.069}"
Amey,3,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",3|Amey|E5,3,1,0.944,3|Amey|E10,"{'3|Amey|E10': 0.944, '1|Amey|E7': 0.76, '-|Amey|E5': 0.531, '2|Amey|E10': 0.508, '0|Amey|E9': 0.435, 'X|Amey|E6': 0.435, '+|Amey|E4': 0.414, '6|Amey|E9': 0.203, ')|Amey|E6': 0.125}"
Amey,4,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",4|Amey|E10,4,1,0.973,4|Amey|E9,"{'4|Amey|E9': 0.973, '6|Amey|E9': 0.717, '+|Amey|E4': 0.667, 'X|Amey|E6': 0.664, '/|Amey|E10': 0.6, '0|Amey|E9': 0.488, '(|Amey|E9': 0.488}"
Amey,5,1,1,17,"['7|Amey|E8', '2|Amey|E10', '1|Amey|E7', '9|Amey|E3', '0|Amey|E9', '3|Amey|E10', '-|Amey|E5', '(|Amey|E9', '5|Amey|E2', '/|Amey|E10', 'X|Amey|E6', '+|Amey|E4', ')|Amey|E6', '^|Amey|E8', '6|Amey|E9', '8|Amey|E2', '4|Amey|E9']",5|Amey|E8,5,1,0.869,5|Amey|E2,"{'5|Amey|E2': 0.869, '9|Amey|E3': 0.735, '6|Amey|E9': 0.623, '-|Amey|E5': 0.586, '+|Amey|E4': 0.566, '4|Amey|E9': 0.528, '0|Amey|E9': 0.48, '(|Amey|E9': 0.291, '2|Amey|E10': 0.202}"
